Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/health,25,0,18,19.2722417600012,8.068926000007082,38.92227000000048,73.36,0.20970952064676185,0.0,18,24,25,31,36,38,39,39,39,39,39
GET,/recommend/[user_id],8661,0,18,19.25921284886279,10.03624600000208,113.77769199999932,644.2911903937189,72.65176633286417,0.0,18,21,23,25,30,34,40,44,72,110,110
GET,/stats,19,0,23,24.38552394736716,11.406332999996494,39.23943799999918,188.0,0.159379235691539,0.0,23,30,32,35,35,39,39,39,39,39,39
,Aggregated,8705,0,18,19.270439228374563,8.068926000007082,113.77769199999932,641.655600229753,73.02085508920247,0.0,18,21,23,25,30,34,40,44,72,110,110
